display_symbol,provider_symbol,name,exchange,currency,asset_type,is_bist,is_active,source,source_date
A1YEN,A1YEN.IS,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AAGYO,AAGYO.IS,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
ACSEL,ACSEL.IS,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
ADEL,ADEL.IS,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
ADESE,ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
ADGYO,ADGYO.IS,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
ADLVY,ADLVY.IS,ADİL VARLIK YÖNETİM A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AEFES,AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AFYON,AFYON.IS,AFYON ÇİMENTO SANAYİ T.A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AGESA,AGESA.IS,AGESA HAYAT VE EMEKLİLİK A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AGHOL,AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AGROT,AGROT.IS,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AGYO,AGYO.IS,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AHGAZ,AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AHSGY,AHSGY.IS,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKBNK,AKBNK.IS,AKBANK T.A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKCNS,AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKCVR,AKCVR.IS,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKDFA,AKDFA.IS,AKDENİZ FAKTORİNG A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKENR,AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKFGY,AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKFIS,AKFIS.IS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKFK,AKFK.IS,AK FİNANSAL KİRALAMA A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKFYE,AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKGRT,AKGRT.IS,AKSİGORTA A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKHAN,AKHAN.IS,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
AKMEN,AKMEN.IS,AK YATIRIM MENKUL DEĞERLER A.Ş.,XIST,TRY,equity,true,true,https://www.kap.org.tr/tr/bist-sirketler,2026-07-03
